name,mrp,discountPercent
"Dukes Waffy Chocolate Wafers",45.00,51
"Dukes Waffy Orange Wafers",45.00,51
"Dukes Waffy Strawberry Wafers",45.00,51
"Ceres Foods Fish Mustard Instant Liquid Masala",220.00,50
"Ceres Foods Laal Maas Instant Liquid Masala",220.00,50
"Ceres Foods Nalli Nihari Instant Liquid Masala",220.00,50
"Chef's Basket Durum Wheat Elbow Pasta",160.00,50
"Chef's Basket Durum Wheat Fusilli Pasta",160.00,50
"Chef's Basket Durum Wheat Penne Pasta",160.00,50
"Dukes Waffy Chocolate Wafer Rolls ",150.00,50
