name,weightInGms,discountedSellInr,price_per_gram
"Aashirvaad Iodised Salt ",1000,19.00,0.02
Onion,1000,21.00,0.02
Onion,3000,57.00,0.02
"Shubh kart - Nirmal sugandhi mogra wet dhoop zipper 20 sticks",1160,28.00,0.02
"Tata Salt",1000,24.00,0.02
"Vicks Cough Drops Menthol",1160,20.00,0.02
"Baby Potato",500,16.00,0.03
Beetroot,500,13.00,0.03
Carrot,500,15.00,0.03
Potato,1000,29.00,0.03
Potato,3000,84.00,0.03
"Raw Banana",500,17.00,0.03
"Shubh kart - Tejas Twisted Cotton Wicks 1000n",1000,28.00,0.03
"Aashirvaad Atta",10000,399.00,0.04
Beetroot,250,9.00,0.04
Capsicum,500,21.00,0.04
Carrot,250,11.00,0.04
"Pillsbury Chakki Fresh Atta",10000,375.00,0.04
"Radish White",500,19.00,0.04
"Tata Salt Lite",1000,36.00,0.04
"Tomato Hybrid",1000,35.00,0.04
"Aashirvaad Superior MP Atta",5000,245.00,0.05
"Aashirvaad Superior MP Whole Wheat Atta",1000,52.00,0.05
"Apsara Non Dust Eraser",1160,54.00,0.05
"Colocasia ",500,24.00,0.05
"Ladies Finger ",250,12.00,0.05
"Madhur Pure And Hygienic Sugar",5000,266.00,0.05
"Mother Dairy Toned Milk Pouch",500,25.00,0.05
"Pillsbury Atta With Multigrains Wheat Grains",5000,245.00,0.05
"Pillsbury Atta/Godihittu - Chakki Fresh",2000,94.00,0.05
"Pillsbury Chakki Fresh Atta",1000,52.00,0.05
"Popular Essentials Idli Rice",1000,54.00,0.05
"Popular Essentials Refined Sugar",5000,265.00,0.05
"Ridge Gourd",500,25.00,0.05
"24 Mantra Organic Whole Wheat Atta",1000,59.00,0.06
"Aashirvaad Atta With Mutigrains",5000,287.00,0.06
"Aashirvaad Multigrain Atta",1000,62.00,0.06
"Aashirvaad Select Atta",1000,64.00,0.06
"Aashirvaad Select Sharbati Atta",5000,283.00,0.06
"Amul Taaza Toned Homogenised Milk",1000,64.00,0.06
"Bitter Gourd",250,15.00,0.06
"Brinjal Small",250,15.00,0.06
Broccoli,500,30.00,0.06
Ginger,200,12.00,0.06
"Johnson's Baby Skincare Wipes",1160,74.00,0.06
"Madhur Sugar",1000,56.00,0.06
"Mother Dairy Ultra Full Cream Milk",500,31.00,0.06
"Om Bhakti Cow Dung Cakes ",290,16.00,0.06
"Origami Disposable Spoons",1160,72.00,0.06
"Pillsbury Atta/Godihittu - Chakki Fresh",5000,275.00,0.06
"Pillsbury Multi Grain Atta",1000,56.00,0.06
"Popular Essentials Bajra Whole",1000,56.00,0.06
"Popular Essentials Idli Sooji ",500,28.00,0.06
"Popular Essentials Refined Sugar",1000,60.00,0.06
"Popular Essentials Rice Flour",1000,60.00,0.06
"Popular Essentials Rozana Sona Masuri Raw Rice",5000,312.00,0.06
"Popular Essentials Sona Masouri Steam Rice",1000,59.00,0.06
"Satyam Poha Jada",500,32.00,0.06
Spinach,250,16.00,0.06
"Spring Onion ",250,15.00,0.06
"Sweet Potato ",500,32.00,0.06
"Banana Robusta",348,24.00,0.07
Garlic,200,13.00,0.07
