name,weightInGms,weight_category
Onion,1000,Medium
"Tomato Hybrid",1000,Medium
"Tender Coconut",58,Low
"Coriander Leaves",100,Low
"Ladies Finger ",250,Low
Potato,1000,Medium
Lemon,200,Low
"Watermelon ",58,Low
"Capsicum Green ",250,Low
"Chilli Green ",100,Low
"Banana Robusta",348,Low
"Garlic Indian ",100,Low
Cauliflower,58,Low
Ginger,200,Low
Spinach,250,Low
Muskmelon,58,Low
"Cabbage ",58,Low
Methi,250,Low
Broccoli,500,Low
Sapota,348,Low
Onion,3000,Medium
Potato,3000,Medium
"Orange Nagpur",232,Low
"Mint Leaves ",100,Low
"Beans French",250,Low
"Bottle Gourd ",58,Low
"Banana Elaichi ",348,Low
"Coconut Big",58,Low
"Curry Leaves",50,Low
"Brinjal Bharta",58,Low
"Lettuce Iceberg",250,Low
Papaya,58,Low
"Apple Shimla",232,Low
"Bitter Gourd",250,Low
"Brinjal Small",250,Low
"Sweet Corn",116,Low
"Spring Onion ",250,Low
"Bell Peppers Red & Yellow ",116,Low
"Pomegranate ",116,Low
"Sweet Lime",116,Low
"Baby Potato",500,Low
Coccinia,250,Low
Guava,232,Low
"Apple Washington",232,Low
Amla,250,Low
"Beans Cluster",250,Low
"Apple Royal Gala",232,Low
"Chilli Bhaji",250,Low
"Lettuce Green",100,Low
"Baby Corn Peeled",250,Low
"Mixed Sprouts",200,Low
"Zucchini Green",250,Low
"Beans Broad",250,Low
"Raw Banana",500,Low
"Colocasia ",500,Low
"Tomato Cherry ",200,Low
"Sweet Potato ",500,Low
"Pineapple Slice",200,Low
Orange,116,Low
"Dragon Fruit Imported",58,Low
"Zucchini Yellow",250,Low
"Apple Kinnaur",232,Low
Pineapple,58,Low
Basil,100,Low
Parsley,100,Low
"Ridge Gourd",500,Low
"Papaya Cut",200,Low
"Pomegranate Peeled",100,Low
"Pear Green Imported",116,Low
"Guava Thai",116,Low
"Lettuce Red",100,Low
"Mango Raw",500,Low
"Biryani /Pulav Mix",250,Low
"Banana Nendran",500,Low
"Pumpkin Cut",200,Low
"Banana Red",500,Low
"Radish White",500,Low
"Avocado Indian Premium",58,Low
"Banana Leaf",58,Low
"Sponge Gourd",300,Low
"Zama Organics Carrot",250,Low
"Safal Frozen - Mixed Vegetables",1000,Medium
"Zama Organics Sweet Potato",250,Low
Beetroot,500,Low
Capsicum,500,Low
Carrot,500,Low
Garlic,200,Low
Carrot,250,Low
Beetroot,250,Low
"Moong Sprouts",200,Low
"Safal Frozen Mixed Vegetables",500,Low
"Safal Frozen Corn",200,Low
"Safal Frozen - Sweet Corn",1000,Medium
"Maggi 2 Minute Masala Noodles",70,Low
"iD Idli & Dosa Batter ",1000,Medium
"Tata Salt",1000,Medium
"Arden Eggs White",696,Low
"Arden Eggs White",348,Low
"Fortune Sunlite Refined Sunflower (Pouch)",1000,Medium
"Aashirvaad Superior MP Atta",5000,Bulk
"Amul Pure Ghee (Pouch)",500,Low
"Arden Eggs Brown",348,Low
"Tata Salt Lite",1000,Medium
"Saffola Gold Oil (Pouch)",1000,Medium
"Fortune Sunlite Refined Sunflower (Jar)",5000,Bulk
"Fortune Rice Bran (Pouch)",1000,Medium
"Saffola Active Oil",1000,Medium
"Amul Pure Ghee (Pouch)",1000,Medium
"Aashirvaad Atta",10000,Bulk
"Popular Essentials Toor Dal (Un-Polished)",1000,Medium
"Amul Ghee (Tin)",1000,Medium
"Amul Fresh Cream",1000,Medium
"Popular Essentials Pure Jaggery",450,Low
"Aashirvaad Multigrain Atta",1000,Medium
"Fortune Soyabean Oil",5000,Bulk
"Popular Essentials Sunflower Seeds",50,Low
"Tata Sampann kabuli chana",1000,Medium
"Dhara Groundnut Oil (Pouch)",1000,Medium
"Dhara Health Refined Sun Flower Oil Jar",5000,Bulk
"24 Mantra Organic Jaggery Powder",500,Low
"Tata Sampann High Protien Kabuli Chana",500,Low
"Dhara Kachi Ghani Mustard Oil Jar",5000,Bulk
"D'lecta Dairy Cream",200,Low
"Ching's Secret Instant Hot Garlic Noodles",60,Low
"Dabur Ginger Garlic Paste",100,Low
"Ching's Secret Instant Schezwan Noodles",60,Low
"Gowardhan Ghee/Tuppa Jar",500,Low
"Tata Sampann Unpolished Moong Dal ",500,Low
"Aashirvaad Select Atta",1000,Medium
"Popular Essentials Misri Dana (Diamond Sugar) ",100,Low
"Gowardhan Ghee Jar",1000,Medium
"Top Ramen  Noodles Curry Veg Pouch",70,Low
"Popular Essentials Refined Sugar",1000,Medium
"Fortune Kachi Ghani Mustard Oil Bottle",1000,Medium
"Saffola Veggie Twist Masala Oats",38,Low
"Satyam Puffed Rice Kurmura (R)",200,Low
"Quaker Oats",400,Low
"Aashirvaad Select Sharbati Atta",5000,Bulk
"Popular Essentials Refined Sugar",5000,Bulk
"Gowardhan Cow Ghee Pouch",1000,Medium
"Dhara Nourish Refined Sunflower Oil Pouch",1000,Medium
"Parachute Oil ",100,Low
"Popular Essentials Plain Puffed Rice (Murmura/Muri)",100,Low
"Amul Mithai Mate Condensed Sweetened Milk",200,Low
"Saffola Gold (Jar)",5000,Bulk
"McCain New Mini Samosa with Cheese Pizza Style Filling",240,Low
"Fortune Rice Bran Health Oil (Jar)",5000,Bulk
"Arden Desi Eggs",348,Low
"Fortune Rozana Basmati Rice",5000,Bulk
"Fortune Biriyani Special Basmati Rice",1000,Medium
"Everest Garam Masala",100,Low
"Popular Essentials Pumpkin Seeds",100,Low
"Fortune Soya Health Refined Soybean Oil",1000,Medium
"Gowardhan Pure Ghee Pouch",500,Low
"Popular Essentials Jeera/Cumin Seeds",100,Low
"Weikfield Baking Soda",100,Low
"Everest Pav Bhaji Masala",50,Low
"Tata Sampann Unpolished Chana Dal",1000,Medium
"Amul Mithai Mate EOE Tin",400,Low
"Pillsbury Chakki Fresh Atta",10000,Bulk
"Everest Chicken Masala",50,Low
"Dhara Life Refined Ricebran Oil (Pouch)",1000,Medium
"Borges Extra Virgin Olive Oil",250,Low
"Everest Shahi Biryani Masala",50,Low
"Popular Essentials Californian Almond",250,Low
"Popular Essentials Ajwain Whole",50,Low
"Everest Tikhalal Chilli Powder",500,Low
"Popular Essentials Kabuli Chana Regular",500,Low
"Pillsbury Chakki Fresh Atta",1000,Medium
"Popular Essentials Saunf/Fennel Seeds",100,Low
"Popular Essentials Bansi Sooji",500,Low
"Happilo Premium International Queen Kalmi Dates",200,Low
"Tata Sampann Unpolished Urad Whole",500,Low
"Popular Essentials Cashew Split",250,Low
"Popular Essentials Chana Dal (Un-Polished)",500,Low
"Tata Sampann Unpolished Rajma (Chitra)",500,Low
