name,"Number of units Present multiple times"
"Arden Eggs White",10
"Saffola Veggie Twist Masala Oats",10
"Quaker Oats",10
"Sunfeast Yippee! Pasta Treat - Sour Cream Onion",10
"Sunfeast YiPPee! Magic Masala Noodles",10
"Mother's Recipe Tamarind Paste",10
"Amul Delicious Fat Spread - Cholesterol Free",10
"Kellogg's Real Almond & Honey Corn Flakes",9
"Amul Fresh Cream",8
"iD Idli & Dosa Batter ",7
"Everest Garam Masala",6
"Everest Chicken Masala",6
"Everest Kitchen King Masala",6
"Godrej Yummiez Chicken Nuggets",6
"Zorabian Chicken Smoked Ham",6
"Godrej Yummiez Chilli Chicken Sausages ",6
"Everest Tandoori Chicken Masala",6
"Godrej Yummiez Chicken Punjabi Tikka ",6
"Maggi Magic Cubes Extra Chicken",6
"Yummiez Chicken Garlic Fingers Pouch",6
"Zorabian Chicken Kheema Parathas",6
"Godrej Yummiez Chicken Breakfast Salami",6
"Prasuma Vegetable Momos",6
"Smith & Jones Masala Noodles",6
"Kellogg's Chocos",6
"Mother's Recipe Pickle - Mango",6
"Kellogg's Original Corn Flakes",6
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",6
"Pantai Green Curry Paste",6
"Ching's Secret Just Soak - Veg Hakka Noodles",6
"Kitchens of India Dal Makhani",6
"Pantai Red Curry Paste",6
"Ching's Secret Green Chilli Sauce",6
"MTR Roasted Vermicelli ",6
"Kellogg's Special K Original Corn Flakes",6
"Aashirvaad Suji Halwa With Jaggery",6
"Yummiez Green Peas",6
"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot",6
"Dove Hair Fall Rescue Shampoo",6
"Himalaya Anti Dandruff Shampoo",6
"Whisper Ultra Soft XL+ Sanitary Pads",6
"Whisper Choice Regular Sanitary Pads",6
"Whisper Ultra Clean XL Plus Sanitary Pad",6
"Maggi 2 Minute Masala Noodles",5
"Arden Eggs Brown",5
"Ching's Secret Instant Hot Garlic Noodles",5
"Ching's Secret Instant Schezwan Noodles",5
"Top Ramen  Noodles Curry Veg Pouch",5
"McCain New Mini Samosa with Cheese Pizza Style Filling",5
"Arden Desi Eggs",5
"Sunfeast Yippee! Mood Masala Noodles",5
"Chef's Basket Durum Wheat Elbow Pasta",5
"MTR Breakfast Khatta Meetha Poha Mix",5
"Borges Durum Wheat Fusilli Pasta ",5
"Chef's Basket Durum Wheat Fusilli Pasta",5
"Top Ramen Chicken Noodles",5
"Ching’s Secret Chowmein Hakka Noodles Masala ",5
"McCain New Mini Samosa with Cheese Corn Style Filling",5
"MTR 3 Min Poha",5
"Ching's Manchurian Instant Noodles",5
"Ching's Schezwan Masala Instant Noodles",5
"Saffola Yummy Masala Noodles ",5
"Dabur Hommade Tamarind Paste",5
"Nissin Cup Noodles Tangy Tomato",5
"Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy",5
"Sunfeast Yippee! Power Up Atta Noodles",5
"Ching's Singapore Curry Instant Noodles",5
"Ching's Secret Instant Noodles, Hot Garlic",5
"Saffola Everyday Peppy Tomato Masala Oats",5
"Top Ramen Noodles, Atta",5
"Borges Durum Wheat Pasta Superior Quality",5
"Borges Farfalle Durum Wheat Pasta ",5
"Quaker Oats Pouch",5
"Masala Oats Masala & Coriander ",5
"Kitchens of India Dal Bukhara Gravy Mix",5
"Japanese Choice Udon Noodles",5
"Weikfield Tomato Salsa Instant Pasta",5
"Cantina Beans Mexican Beans",5
"Kitchens of India Mutter Paneer Mix",5
"Praakritik Organic Jumbo Rolled Oats",5
"Maggi 2-Minute Instant Noodles - Masala",5
"Ching's Chow Mein Hakka Noodles Masala",5
"Ching's Secret Veg Hakka Noodles",5
"Saffola Oats 100 % Natural",5
"Maggi Chilly Chow Cuppa Noodles",5
"Top Ramen Masala",5
"Chef's Basket Durum Wheat Penne Pasta",5
"Sunfeast Pasta Treat Pack of Tomato Cheese",5
"Maggi Special Masala Spicy Yummy Noodles",5
"Amul Cheese Spread Creamy",5
"Amul Lite Spread",5
"The Whole Truth Dark Chocolate Peanut Butter - Creamy",5
"Go Cheese  Spread Plain",5
"Go Cheese Spread - Garlic",5
"The Whole Truth Peanut Butter With Dates - Creamy No Sugar",5
"Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened",5
"The Whole Truth Dark Chocolate Peanut Butter - Crunchy",5
"Funfoods Peanut Butter Crunchy",5
"Go Cheese Spread - Four Pepper (Soft & Creamy)",5
"The Whole Truth Peanut Butter - Sweetened & Crunchy",5
"Funfoods Peanut Butter Creamy",5
"Yoga Bar Peanut Butter Dark Chocolate Jar",5
"The Laughing Cow Cheese Spread Plain",5
"Amul Cheese Spread Yummy Plain",5
"The Whole Truth Peanut Butter - Unsweetened & Crunchy",5
"Amul Cheese Spread Spicy Garlic",5
"Safal Frozen - Mixed Vegetables",4
"Safal Frozen Mixed Vegetables",4
"Safal Frozen Corn",4
"Safal Frozen - Sweet Corn",4
"Amul Pure Ghee (Pouch)",4
"Popular Essentials Toor Dal (Un-Polished)",4
"Fortune Soyabean Oil",4
"D'lecta Dairy Cream",4
"Dabur Ginger Garlic Paste",4
"Popular Essentials Refined Sugar",4
"Amul Mithai Mate Condensed Sweetened Milk",4
"Everest Pav Bhaji Masala",4
"Pillsbury Chakki Fresh Atta",4
"Everest Shahi Biryani Masala",4
"Popular Essentials Californian Almond",4
"Popular Essentials Ajwain Whole",4
"Nestle Everyday Dairy Whitener",4
"Betty Crocker Complete Pancake Mix Original",4
"Tata Sampann Kala Chana",4
"Weikfield Baking Powder",4
"Dhara Filtered Groundnut Oil (Jar)",4
"Pillsbury Choco Chip Pancake Mix",4
"Pillsbury Atta/Godihittu - Chakki Fresh",4
"Popular Essentials HMT Kolam Steam",4
"RRO Til Dil Premium Til Oil Bottle",4
"Sugarfree Gold Low Calorie Sweetner",4
"Smith & Jones Pasta Masala",4
"Pantai Coconut Cream",4
"Dlicia Whip Topping Bottle",4
"Sugarfree Gold Low Calorie Sweetner ",4
"Amulya Dairy Whitener ",4
"Everest Kesari Milk Masala",4
"Pantai Coconut Milk",4
"Everest Coriander Powder",4
"Amul Butter - Pasteurised",4
"Nestle A+ Nourish Dahi",4
"Britannia Burger Bun with Sesame Seed",4
"Amul Cheese Slices",4
"Godrej Yummiez Chicken Lucknowi Seekh Kebab",4
"Yummiez Chicken Breakfast Sausages",4
"Lux International Creamy White Soap Bar",4
"Dabur Meswak Toothpaste",4
"Savlon Moisture Shield Hand Wash",4
"Johnson's Baby Skincare Wipes",4
"Head & Shoulders Anti-Dandruff Smooth & Silky Shampoo",4
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",4
"Himalaya Baby Powder",4
"Fiama Men's Refreshing Pulse Shower Gel",4
"Johnson's Baby Powder",4
"Johnson's Baby Soap",4
"Himalaya Anti Hair Fall Shampoo",4
"Himalaya Baby Lotion",4
"Sunsilk Lusciously Thick & Long Shampoo",4
"Listerine Cool Mint Mouthwash - Mild Taste",4
"Dove Daily Shine Conditioner",4
"Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil",4
"Head & shoulders Anti Dandruff Shampoo Cool Menthol",4
"Dove Daily Shine Shampoo",4
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",4
"Himalaya Gentle Baby Shampoo",4
"Clean & Clear Foaming Face Wash",4
"Listerine Fresh Burst Mouthwash",4
"TRESemme Smooth And Shine Conditioner",4
"Johnson's Baby Oil",4
"Listerine Original Mouthwash",4
"L'Oreal Paris Dream Lengths Conditioner",4
"Dettol Antiseptic Liquid",4
"Eastern Chicken Masala",3
"Ching's Chicken Chilli Masala",3
"Ceres Foods Fish Mustard Instant Liquid Masala",3
"Everest Meat Masala Powder",3
"Everest Powder - Egg Curry Masala",3
"Eastern Fish Masala",3
"Ceres Foods Laal Maas Instant Liquid Masala",3
"Ceres Foods Nalli Nihari Instant Liquid Masala",3
"Suhana Spice Mix - Chicken Biryani",3
"Nestle A+ Actiplus Probiotic Dahi Plain Curd",3
"Suguna Sharp Egg ",3
"Suguna Active - DHA",3
"Suguna Heart- Omega3",3
"Suguna Fit Egg",3
"Suguna Nourish Egg",3
"Suguna Vitamin D Egg",3
"Suguna Nourish Egg ",3
"iD Malabar Parota ",3
"iD Wheat Lachha Paratha",3
"McCain Aloo Tikki",3
"McCain Smiles Cripsy Happy Potatoes",3
"McCain Veggie Burger Patty",3
"McCain Veggie Fingers",3
"Whiskas Wet  Meal (Adult - Cat Food)  Chicken in Gravy",3
"McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets",3
"Veeba Eggless Mayonnaise",3
"Veeba Pasta And Pizza Sauce",3
"Unibic Almond & Oats Protein Bar",3
"McCain French Fries",3
"Ching's Secret Manchow Instant Soup",3
"McCain Potato Cheese Shotz",3
"McCain Masala - Fries",3
"Ching's Secret Schezwan Fried Rice Masala",3
"McCain Chilli Cheesy Nuggets",3
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",3
"Chings Instant Soup - Hot & Sour",3
"Amul Spray Infant Milk Food",3
"McCain Smiles - Pudina Chatka",3
"McCain French Fries Crisp & Delicious",3
"Ferrero Nutella Hazelnut Spread",3
"Lijjat Garlic Papad",3
"Switz Samosa Dough Sheets",3
"Maggi Imli Sauce Pichkoo",3
"Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish",3
"Chings Instant Soup - Sweet Corn Veg",3
"Whiskas Wet  Meal (Kitten - Cat Food)  Chicken in Gravy",3
"McCain Crazy Fries Masala MixHot 'n' Tangy",3
"The Whole Truth Double Cocoa Protein Bar No Sugar",3
"Amul Happy Treats French Fries",3
"Ferrero Nutella Hazeulnut Spread",3
"Veeba Chipolte Southwest Dressing",3
"Ching's Secret Manchow Noodles Instant Soup",3
"Yoga Bar Breakfast Protein Bar - Blueberry Pie",3
"The Whole Truth Mini Protein Bar - Coconut Cocoa No Added Sugar",3
"Switz Spring Roll Dough Sheets",3
"Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar",3
"Ching's Secret Tomato Instant Soup",3
"Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli",3
"Ching's Secret Chilli Vinegar",3
"Ching's Red Chilli Sauce",3
"The Whole Truth Cranberry Mini Protein Bar No Sugar",3
"The Whole Truth Mini Protein Bar - Coffee Cocoa No Added Sugar",3
"Maggi Hot & Sweet Tomato Chilli Sauce",3
"Sunfeast YiPPee! Noodles - Magic Masala",3
"Veeba Cheese and Chilli Sandwich Spread",3
"The Whole Truth Peanut Cocoa Mini Protein Bar No Sugar ",3
"Gits Pav Bhaji Ready to Eat",3
"Lijjat Udad Mini Papad",3
"McCain Herb & Garlic Crazy Fries Masala Mix ",3
"Yoga Bar Multigrain Energy Bar Nuts And Seeds",3
"Ching's Secret Sauce, Green Chilli",3
"Veeba Pizza Topping",3
"Switz Paratha Puff",3
"New Kellogg's Muesli with 21% Fruit, Nut & Seeds",3
"The Whole Truth Double Cocoa Mini Protein Bar No Sugar",3
"Sunfeast Yippee Tricolor Pasta Seasoning",3
"Wingreens Cheesy Chipotle Sauce",3
"Maggi Rich Tomato Ketchup",3
"The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar",3
"MTR Upma",3
"The Whole Truth Cranberry Protein Bar No Sugar",3
"Veeba English Mustard",3
"Yoga Bar Breakfast Muesli - Almond Caramel (No Added Sugar)",3
"The Whole Truth Mini Protein Bar - Peanut Butter No Added Sugar",3
"ITC Master Chef Crispy Chicken Fries ",3
"Kelloggs Corn Flakes",3
"Smith & Jones White Pasta Sauce Mix",3
"Mothers Recipe Tamrind Date Chutney ",3
"Veeba Mint Mayonnaise",3
"Mccain Emotibites - Crispy Happy Potato Snack",3
"The Whole Truth Energy Bar Choco Cranberry Fudge",3
"Mother's Recipe Mixed Pickle",3
"The Whole Truth Peanut Cocoa Protein Bar No Sugar",3
"Yoga Bar Breakfast Muesli - Chocolate & Cranberry ",3
"Veeba Sweet Onion Sauce",3
"Yogabar No Added Sugar Protein Bar Brownie",3
"Bambino Popular Vermicelli ",3
"Ching's Secret Mix Veg Instant Soup",3
"Mother's Recipe Pickle - Red Stuffed Chilli",3
"Kellogg's No Added Sugar Muesli",3
"Veeba Salsa Dip",3
"Veeba Thousand Island Dressing",3
"Baggry's Crunchy Muesli Almond Raisins & Honey",3
"Knorr Chinese Hot And Sour Veg Soup",3
"Kissan Pineapple Jam",3
"Nestle Nestle Nan Pro Follow-Up Formula",3
"McCain Super Wedges",3
"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds",3
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle",3
"The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar",3
"ITC Master Chef Classic Aloo Tikki",3
"Smith & Jones Pink Pasta Sauce Mix",3
"Wingreens Farms Chipotle Dip",3
"Kellogg's Crunchy Granola Chocolate & Almonds",3
"Cornitos Cornitos Taco Shells - 6 Inches",3
"Ching's Secret Singapore Curry Instant Noodles",3
"Pedigree Dentastix  Dog Treat Oral Care for Adult Medium Breed ",3
"Maggi Hot & Sweet - Tomato Chilli Sauce",3
"Ching's Secret Asian Hot Instant Soup",3
"Kellogg’s Chocos Protein And Fibre Of 1 Roti",3
"Chings Secret Manchurian Instant Noodle",3
"Kellogg's Almonds And Cranberries Granola",3
"Nestle Ceregrow Multigrain Cereal with Milk and Fruits - 3 to 6 years",3
"MTR 3 Minute Breakfast - Magic Masala Upma",3
"Knorr Classic Tomato Soup With 100% Real Vegetabls, No Added Preservatives",3
"Kellogg's Corn Flakes",3
"Kelloggs Chocos",3
"Ching's Secret Lemon Coriander Instant Soup",3
"Nestle Cerelac Baby Cereal With Milk Wheat-Rice Mixed Fruit",3
"Kelloggs Chocos - Moons & Stars",3
"ITC Master Chef Chicken Galouti Kebab",3
"Kitchens Of India Palak Paneer",3
"Kelloggs Chocos Fills Double Chocolat",3
"Soulfull Ragi Bites Choco Fills",3
"Figaro Sliced Black Olive ",3
"Veeba Barbeque Sauce",3
"The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar",3
"The Whole Truth - Nuts, Fruits & Seeds Muesli",3
"Kelloggs Special K",3
"Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip",3
"Mother's Recipe Madras Appalam",3
"Top Ramen Masala Oat Masala",3
"Kitchens Of India Chicken Chettinad",3
"Nestle Cerelac Wheat - Stage 1",3
"Sumeru Aloo Paratha",3
"ITC Master Chef Veggie Pizza Pocket",3
"Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip",3
"Ching's Secret Manchow Soup",3
"Veeba Carrot & Cucumber Sandwich Spread",3
"Kitchens Of India Mughlai Paneer",3
"Ching's Secret Chowmein Hakka Noodles Masala",3
"Mother's Recipe Bhel Puri Chutney",3
"Kelloggs Chocos Moon & Stars",3
"Mother's Recipe Lime Pickle ",3
"Pantai Light Soy Sauce",3
"Ching's Secret Sweet Corn Soup",3
"Cantina Tortilla Dip Sauce Sour Creamy Tex Mex",3
"Dabur Hommade - Rajasthan Ki Garlic Chutne",3
"MTR Seviyan Vermicelli ",3
"Pantai Oyster Sauce",3
"MTR Ready To Eat Paneer Butter Masala",3
"Nestle Lactogen Stage 2 Follow-up Formula Powder",3
"Kellogg's Crunchy Bites Chocos",3
"Veeba Hot Sweet Tomato Chilli Sauce",3
"ITC Master Chef Chicken Seekh Kabab",3
"Del Monte Pizza & Pasta Sauce Spout Pack",3
"Pantai Sriracha Red Chilli Sauce",3
"Hershey's Cocoa Spread",3
"Maggi Ghee Tadka Upma Express Pouch",3
"Ching's Secret Manchurian Noodles",3
"Kellogg's All Bran Wheat Flakes",3
"Bagrrys Muesli Crunchy Fruit & Nut With Cranberries",3
"Prasuma Momos -  Cheesy Spicy Veg",3
"Veeba Sriracha Chilli Garlic Sauce",3
"Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip",3
"Figaro Plain Green Olive ",3
"Mother's Recipe Gujrati Gorkeri Pickle",3
"Kellogg's Muesli 20% Nuts Delight",3
"Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ",3
"Veeba Truly Tomato Ketchup",3
"Mother's Recipe Punjabi Teekha Mang Pickle",3
"Ching's Secret Hot Garlic Instant Noodles",3
"Kellogg's Real Honey Corn Flakes",3
